Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes
IC2457;G;09:17:04.14;+20:05:36.6;Cnc;0.55;0.40;75;16.21;;13.32;12.52;12.28;23.45;SBab;;;;;;;;2MASX J09170413+2005368,PGC 1616119,SDSS J091704.13+200536.5,SDSS J091704.14+200536.6;;;B-Mag taken from LEDA. 
IC2458;Dup;09:21:30.07;+64:14:19.3;UMa;;;;;;;;;;;;;;;2820A;;;;;;
IC2459;G;09:18:59.47;+34:51:43.9;Lyn;0.66;0.38;118;15.78;;13.07;12.45;12.34;23.91;E;;;;;;;;2MASX J09185946+3451446,LEDA 2055725,SDSS J091859.46+345143.8,SDSS J091859.47+345143.9;;;B-Mag taken from LEDA. 
IC2460;Dup;09:19:19.01;+33:52:50.9;Lyn;;;;;;;;;;;;;;;2827;;;;;;
IC2461;G;09:19:58.03;+37:11:28.5;Lyn;2.41;0.51;143;15.10;;11.27;10.47;10.05;24.22;Sb;;;;;;;;2MASX J09195802+3711277,IRAS 09168+3724,MCG +06-21-019,PGC 026390,SDSS J091958.02+371128.5,UGC 04943;;;
IC2462;G;09:22:56.25;+22:41:10.9;Leo;0.69;0.25;62;16.06;;12.91;12.17;11.81;23.24;Sbc;;;;;;;;2MASX J09225621+2241109,PGC 1674360,SDSS J092256.24+224110.8,SDSS J092256.25+224110.9;;;B-Mag taken from LEDA. 
IC2463;G;09:23:00.25;+22:37:06.8;Leo;0.54;0.44;103;15.70;;12.81;12.04;11.86;23.05;Sab;;;;;;;;2MASX J09230026+2237070,PGC 026557,SDSS J092300.24+223706.8,SDSS J092300.25+223706.8;;;
IC2464;G;09:23:22.27;+22:37:48.9;Leo;0.80;0.54;147;15.40;;12.26;11.60;11.38;23.24;Sab;;;;;;;;2MASX J09232227+2237483,MCG +04-22-036,PGC 026585,SDSS J092322.26+223748.8,SDSS J092322.26+223748.9;;;
IC2465;G;09:23:31.51;+24:26:44.5;Leo;0.97;0.56;89;15.09;;11.91;11.10;10.76;23.60;S0-a;;;;;;;;2MASX J09233148+2426447,PGC 3084878,SDSS J092331.50+242644.4,SDSS J092331.51+242644.5;;;B-Mag taken from LEDA. 
IC2466;G;09:23:45.03;+24:31:06.4;Leo;0.83;0.49;92;15.50;;11.50;10.82;10.48;23.77;E-S0;;;;;;;;2MASX J09234501+2431063,MCG +04-22-044,PGC 026629,SDSS J092345.02+243106.4;;Star superposed.;
IC2467;G;09:24:52.72;+38:21:06.3;LMi;0.95;0.92;45;14.80;;11.39;10.75;10.45;23.50;E;;;;;;;;2MASX J09245275+3821066,MCG +07-20-005,PGC 026683,SDSS J092452.71+382106.3,SDSS J092452.72+382106.3,SDSS J092452.72+382106.4;;;
IC2468;G;09:25:01.49;+38:20:38.5;LMi;0.51;0.47;60;16.10;;12.75;12.10;11.88;23.26;S0;;;;;;;;2MASX J09250150+3820389,MCG +07-20-007,PGC 026691,SDSS J092501.49+382038.4,SDSS J092501.49+382038.5;;;B-Mag taken from LEDA. 
IC2469;G;09:23:01.06;-32:26:59.1;Pyx;5.79;1.17;37;12.07;;8.37;7.55;7.33;23.73;SBab;;;;;;;;2MASX J09230105-3226591,ESO 433-017,MCG -05-22-008,PGC 026561,UGCA 163;;;B-Mag taken from LEDA. 
IC2470;G;09:25:41.32;+23:21:41.8;Leo;1.01;0.94;105;15.60;;11.77;11.06;10.80;23.85;S0-a;;;;;;;;2MASX J09254128+2321413,MCG +04-22-049,PGC 026729,PGC 026730,SDSS J092541.31+232141.8,SDSS J092541.32+232141.8;;MCG Declination is -5 arcmin in error.;
IC2471;G;09:25:12.17;-06:49:47.7;Hya;1.08;0.52;151;14.50;;10.93;10.22;9.95;23.44;S0;;;;;;;;2MASX J09251217-0649476,MCG -01-24-015,PGC 026707;;;
IC2472;G;09:26:33.72;+21:23:06.1;Leo;0.62;0.51;4;15.50;;13.01;12.26;11.87;23.00;SBbc;;;;;;;;2MASX J09263370+2123063,PGC 026779,SDSS J092633.72+212306.0;;;
IC2473;G;09:27:23.50;+30:26:26.9;Leo;1.08;0.74;92;14.60;;11.49;10.84;10.55;23.33;Sbc;;;;;;;;2MASX J09272351+3026263,IRAS 09244+3039,MCG +05-22-047,PGC 026817,SDSS J092723.49+302626.9,SDSS J092723.50+302626.9,UGC 05038;;;
IC2474;G;09:27:11.41;+23:02:03.4;Leo;0.59;0.22;96;15.75;;12.59;11.87;11.59;22.66;Sbc;;;;;;;;2MASX J09271138+2302041,MCG +04-22-057,PGC 026810,SDSS J092711.40+230203.4,SDSS J092711.41+230203.4;;The IC number includes the star close to the southeast.;B-Mag taken from LEDA. 
IC2475;G;09:27:54.33;+29:47:30.7;Leo;1.01;0.34;111;15.70;;12.21;11.48;11.19;23.52;Sbc;;;;;;;;2MASX J09275435+2947303,MCG +05-22-049,PGC 026851,SDSS J092754.33+294730.6;;;
IC2476;G;09:27:52.83;+29:59:08.7;Leo;1.30;1.04;40;14.50;;11.03;10.35;10.03;23.59;E-S0;;;;;;;;2MASX J09275281+2959085,MCG +05-23-001,PGC 026854,SDSS J092752.81+295908.6,SDSS J092752.83+295908.7,UGC 05043;;;
IC2477;G;09:28:17.83;+29:42:21.8;Leo;0.60;0.43;172;15.50;14.65;12.46;11.64;11.53;23.11;S0-a;;;;;;2480;;2MASX J09281784+2942212,PGC 026883,SDSS J092817.82+294221.7,SDSS J092817.83+294221.7,SDSS J092817.83+294221.8;;The identification as IC 2477 is not certain.;
IC2478;G;09:28:00.93;+30:02:13.1;Leo;0.57;0.42;140;15.60;;12.53;11.94;11.65;23.29;E;;;;;;;;2MASX J09280090+3002135,MCG +05-23-003,PGC 026865,SDSS J092800.92+300213.0,SDSS J092800.93+300213.1;;;
IC2479;G;09:28:04.09;+29:59:29.2;Leo;0.58;0.33;152;15.50;;13.11;12.40;12.03;22.81;SBb;;;;;;;;2MASX J09280405+2959294,IRAS 09251+3012,MCG +05-23-002,PGC 026866,SDSS J092804.09+295929.1,SDSS J092804.09+295929.2;;;
IC2480;Dup;09:28:17.83;+29:42:21.8;Leo;;;;;;;;;;;;;;;;2477;;;;;
IC2481;G;09:27:28.81;+03:55:46.6;Hya;0.83;0.47;161;14.50;;12.10;11.50;11.10;22.46;SBbc;;;;;;;;2MASX J09272880+0355470,IRAS 09248+0408,MCG +01-24-022,PGC 026826,SDSS J092728.80+035546.5,SDSS J092728.81+035546.5,SDSS J092728.81+035546.6,UGC 05040A;;;
IC2482;G;09:26:59.22;-12:06:32.1;Hya;2.84;1.84;145;13.92;;9.88;9.22;8.94;25.03;E;;;;;;;;2MASX J09265922-1206323,MCG -02-24-025,PGC 026796;;;B-Mag taken from LEDA. 
IC2483;G;09:29:25.79;+30:59:41.0;Leo;0.66;0.45;103;15.70;;12.73;12.05;11.71;23.27;Sb;;;;;;;;2MASX J09292577+3059407,PGC 026928,SDSS J092925.79+305940.9,SDSS J092925.79+305941.0;;;
IC2484;Other;09:26:50.28;-42:50:34.1;Vel;;;;;;;;;;;;;;;;;;;;"Nothing here; nominal position.";
IC2485;Other;09:27:11.88;-39:17:05.0;Ant;;;;;;;;;;;;;;;;;;;;"Nothing at this position; probably a defect on the Harvard plate.";
IC2486;G;09:30:17.37;+26:38:28.6;Leo;0.92;0.62;135;15.10;;12.20;11.51;11.47;23.26;Sbc;;;;;;;;2MASX J09301740+2638279,MCG +05-23-006,PGC 026982,SDSS J093017.36+263828.5,SDSS J093017.37+263828.5,SDSS J093017.37+263828.6,UGC 05062;;;
IC2487;G;09:30:09.17;+20:05:27.1;Leo;1.84;0.46;164;14.20;;11.13;10.47;10.24;23.31;Sb;;;;;;;;2MASX J09300918+2005272,IRAS 09273+2018,MCG +03-24-061,PGC 026966,SDSS J093009.16+200527.0,SDSS J093009.17+200527.1,UGC 05059;;"CGCG misprints name as 'IC 2489'; corrected in CGCG errata.";
IC2488;OCl;09:27:38.23;-57:00:25.0;Car;7.20;;;;7.40;;;;;;;;;;;;;MWSC 1671;;;
IC2489;Other;09:31:11.63;-05:53:03.0;Hya;;;;;;;;;;;;;;;;;;;;"Nothing here; nominal position.";
IC2490;G;09:33:03.65;+29:55:42.1;Leo;0.97;0.65;177;14.70;;11.79;11.08;10.90;23.09;SABb;;;;;;;;2MASX J09330359+2955417,MCG +05-23-010,PGC 027121,SDSS J093303.64+295542.0,SDSS J093303.64+295542.1,UGC 05087;;;
IC2491;G;09:35:14.22;+34:43:54.0;LMi;0.87;0.61;74;15.00;;11.79;11.01;10.78;23.31;S0;;;;;;;;2MASX J09351419+3443536,MCG +06-21-053,PGC 027254,SDSS J093514.22+344354.0,UGC 05104;;;
IC2492;G;09:33:14.87;-37:51:58.8;Ant;0.76;0.31;48;15.77;;11.71;10.93;10.72;23.39;Sab;;;;;;;;2MASX J09331488-3751587,ESO 315-013,ESO-LV 315-0130,PGC 027129;;The IC identification is very uncertain.;
IC2493;G;09:36:17.54;+37:21:50.4;LMi;0.97;0.72;1;15.00;;11.60;10.90;10.67;23.51;E;;;;;;;;2MASX J09361758+3721502,MCG +06-21-056,PGC 027322,SDSS J093617.53+372150.3,SDSS J093617.53+372150.4,SDSS J093617.54+372150.4;;;
IC2494;Dup;09:36:05.79;-12:26:12.2;Hya;;;;;;;;;;;;;;;2947;;;;;;
IC2495;G;09:38:07.39;+28:03:27.6;Leo;0.73;0.30;11;14.80;;12.04;11.46;11.31;22.49;Sab;;;;;;;;2MASX J09380740+2803273,MCG +05-23-023,PGC 027455,SDSS J093807.38+280327.5,SDSS J093807.39+280327.6;;;
IC2496;G;09:38:44.50;+34:43:36.4;LMi;0.73;0.43;33;15.50;;12.59;11.94;11.61;23.09;Sbc;;;;;;;;2MASX J09384453+3443361,IRAS 09357+3457,PGC 027499,SDSS J093844.50+344336.3,SDSS J093844.50+344336.4;;;
IC2497;G;09:41:04.09;+34:43:57.8;LMi;0.72;0.38;115;15.78;;12.54;11.71;11.41;23.51;SBa;;;;;;;;2MASX J09410407+3443585,IRAS 09380+3457,LEDA 165538,SDSS J094104.11+344358.4;;;B-Mag taken from LEDA. 
IC2498;G;09:41:21.94;+28:06:52.1;Leo;0.83;0.31;25;15.30;;12.23;11.69;11.55;23.12;Sb;;;;;;;;2MASX J09412191+2806518,PGC 027668,SDSS J094121.93+280652.0,SDSS J094121.93+280652.1,SDSS J094121.94+280652.1;;;
IC2499;G;09:41:24.63;+27:53:42.9;Leo;0.63;0.26;125;16.21;;;;;23.80;Sa;;;;;;;;2MASX J09412462+2753428,PGC 1820853,SDSS J094124.63+275342.9;;;B-Mag taken from LEDA. 
IC2500;G;09:42:23.37;+36:20:58.9;LMi;1.35;0.43;164;15.20;;11.73;11.01;10.75;23.69;SBab;;;;;;;;2MASX J09422335+3620591,MCG +06-21-074,PGC 027748,SDSS J094223.37+362058.8,SDSS J094223.37+362058.9,SDSS J094223.38+362058.8;;;
IC2501;PN;09:38:47.18;-60:05:30.7;Car;0.03;;;11.30;10.40;10.39;10.24;9.24;;;;14.42;14.48;;;;HD 83832;2MASX J09384714-6005305,ESO 126-026,IRAS 09373-5951 ,PK 281-05 1,PN G281.0-05.6;;;
IC2502;Other;09:43:06.74;+33:03:37.1;LMi;;;;;;;;;;;;;;;;;;;;"Nothing here; nominal position.";
IC2503;Other;09:43:09.58;+33:06:28.0;LMi;;;;;;;;;;;;;;;;;;;;"Nothing here; nominal position.";
IC2504;Other;09:38:33.82;-69:05:06.4;Car;;;;;;;;;;;;;;;;;;;;"Nothing at this position; probably a defect on the Harvard plate.";
IC2505;G;09:45:06.95;+27:16:06.9;Leo;0.75;0.55;18;15.70;;12.83;12.23;11.79;23.73;Sab;;;;;;;;2MASX J09450693+2716069,MCG +05-23-034,PGC 027936,SDSS J094506.95+271606.9;;;
IC2506;G;09:45:12.77;+27:15:07.2;Leo;0.55;0.41;79;15.60;;12.60;11.80;11.21;22.98;Sab;;;;;;;;2MASX J09451278+2715069,MCG +05-23-035,PGC 027940,SDSS J094512.76+271507.1,SDSS J094512.77+271507.1,SDSS J094512.77+271507.2;;;
IC2507;G;09:44:33.90;-31:47:24.0;Ant;1.74;0.86;48;17.22;;11.73;11.18;11.05;22.65;IB;;;;;;;;2MASX J09443293-3147307,MCG -05-23-009,PGC 027903;;;
IC2508;G;09:47:07.08;+33:30:29.0;LMi;0.69;0.44;19;15.70;;12.88;12.17;11.94;23.85;E;;;;;;;;2MASX J09470711+3330290,PGC 028106,SDSS J094707.07+333028.9,SDSS J094707.08+333029.0;;;
IC2509;*;09:46:55.92;+05:42:07.0;Sex;;;;;;;;;;;;;;;;;;SDSS J094655.91+054207.0;;;
IC2510;G;09:47:43.48;-32:50:14.8;Ant;1.59;0.86;148;15.50;;11.05;10.32;10.01;;Sb;;;;;;;;2MASX J09474350-3250148,2MASX J09474417-3250247,ESO 373-029,MCG -05-23-017,PGC 028147;;;
IC2511;G;09:49:24.55;-32:50:21.1;Ant;4.22;0.81;43;13.01;;10.12;9.31;9.07;24.13;SABa;;;;;;2512;;2MASX J09492462-3250198,ESO 374-049,ESO-LV 374-0490,MCG -05-23-018,PGC 028246;;;
IC2512;Dup;09:49:24.55;-32:50:21.1;Ant;;;;;;;;;;;;;;;;2511;;;;;
IC2513;G;09:50:00.79;-32:52:58.2;Ant;3.39;0.68;63;13.29;;9.48;8.78;8.50;23.80;Sab;;;;;;2514;;2MASX J09500078-3252578,ESO 374-050,ESO-LV 374-0500,MCG -05-23-019,PGC 028283,PGC 028290;;;
IC2514;Dup;09:50:00.79;-32:52:58.2;Ant;;;;;;;;;;;;;;;;2513;;;;;
IC2515;G;09:54:39.42;+37:24:30.9;LMi;1.13;0.40;174;15.10;;11.70;10.92;10.60;23.27;Sb;;;;;;;;2MASX J09543943+3724308,IRAS 09516+3738,MCG +06-22-027,PGC 028581,SDSS J095439.41+372430.9,SDSS J095439.42+372430.9,UGC 05321;;;
IC2516;G;09:54:48.36;+37:41:13.0;LMi;0.97;0.87;13;15.00;;11.73;11.02;10.75;23.54;E-S0;;;;;;;;2MASX J09544835+3741128,MCG +06-22-028,PGC 028589,SDSS J095448.35+374113.0,SDSS J095448.36+374113.0;;;
IC2517;G;09:52:50.67;-33:44:31.0;Ant;0.68;0.56;98;15.43;;;;;23.36;S0;;;;;;;;ESO 374-006,ESO-LV 374-0060,PGC 028466;;;
IC2518;G;09:55:58.53;+37:09:19.9;LMi;0.70;0.53;110;15.60;;12.73;12.04;11.92;23.81;E;;;;;;;;2MASX J09555853+3709202,PGC 028659,SDSS J095558.52+370919.7,SDSS J095558.52+370919.8,SDSS J095558.53+370919.9;;;
IC2519;G;09:55:58.81;+34:02:11.7;LMi;0.35;0.25;90;15.60;;12.48;11.69;11.41;;E;;;;;;;;2MASX J09555878+3402123,IRAS 09530+3416,PGC 028660,SDSS J095558.80+340211.6,SDSS J095558.81+340211.7;;;
IC2520;G;09:56:20.12;+27:13:39.3;Leo;0.88;0.74;57;14.30;;11.39;10.66;10.38;22.75;S0-a;;;;;;;;2MASX J09562016+2713393,IRAS 09534+2727,MCG +05-24-003,PGC 028682,SDSS J095620.11+271339.2,SDSS J095620.12+271339.3,UGC 05335;;;
IC2521;G;09:57:15.75;+33:58:34.7;LMi;0.61;0.57;15;15.30;;13.42;12.89;12.69;23.28;SBbc;;;;;;;;2MASX J09571571+3358343,MCG +06-22-035,PGC 028740,SDSS J095715.74+335834.7,SDSS J095715.75+335834.7;;;
IC2522;G;09:55:08.96;-33:08:13.7;Ant;2.30;1.74;180;12.60;;10.24;9.61;9.32;23.38;Sc;;;;;;;;2MASX J09550896-3308137,ESO 374-010,ESO-LV 374-0100,IRAS 09529-3254,MCG -05-24-004,PGC 028606,UGCA 189;;;
IC2523;G;09:55:09.52;-33:12:36.8;Ant;1.43;0.86;30;13.62;;11.12;10.48;10.07;22.74;SBbc;;;;;;;;2MASX J09550951-3312367,ESO 374-011,ESO-LV 374-0110,IRAS 09529-3258,MCG -05-24-005,PGC 028607;;;
IC2524;G;09:57:32.86;+33:37:11.0;LMi;0.74;0.44;64;14.80;;13.10;12.54;12.19;22.86;S0-a;;;;;;;;2MASX J09573287+3337101,MCG +06-22-039,PGC 028758,SDSS J095732.85+333711.0,SDSS J095732.86+333711.0;;;
IC2525;G;09:58:24.96;+37:06:06.7;LMi;0.65;0.61;55;15.70;;12.40;11.97;11.37;23.76;E;;;;;;;;2MASX J09582493+3706071,PGC 028807,SDSS J095824.95+370606.7,SDSS J095824.96+370606.7;;;
IC2526;G;09:57:03.03;-32:15:24.7;Ant;2.07;0.70;56;13.65;;9.95;9.27;9.04;23.91;S0;;;;;;;;2MASX J09570304-3215248,ESO 435-012,ESO-LV 435-0120,MCG -05-24-008,PGC 028732;;;
IC2527;G;10:00:06.49;+38:10:19.9;LMi;0.57;0.48;123;15.20;;13.21;12.48;12.15;23.02;SBc;;;;;;;;2MASX J10000654+3810201,PGC 028920,SDSS J100006.49+381019.9;;;
IC2528;Dup;09:59:06.42;-27:07:43.7;Ant;;;;;;;;;;;;;;;3084;;;;;;
IC2529;Dup;09:59:29.54;-22:49:34.6;Hya;;;;;;;;;;;;;;;3081;;;;;;
IC2530;G;10:01:31.06;+37:12:14.2;LMi;0.97;0.94;20;15.00;;11.78;11.02;10.84;23.65;E;;;;;;;;2MASX J10013106+3712139,MCG +06-22-053,PGC 029019,SDSS J100131.06+371214.2;;;
IC2531;G;09:59:55.77;-29:37:01.1;Ant;6.55;0.60;74;13.19;;9.61;8.84;8.51;23.91;Sc;;;;;;;;2MASX J09595554-2937040,ESO 435-025,ESO-LV 435-0250,MCG -05-24-015,PGC 028909,UGCA 191;;The 2MASX position is weighted toward the south by the J-band image.;
IC2532;G;10:00:05.40;-34:13:41.8;Ant;2.04;1.12;36;13.91;;10.82;10.23;10.02;23.96;Sa;;;;;;;;2MASX J10000541-3413417,ESO 374-016,ESO-LV 374-0160,IRAS 09579-3359,MCG -06-22-007,PGC 028915;;;
IC2533;G;10:00:31.67;-31:14:42.0;Ant;2.04;1.45;180;12.89;;9.66;8.95;8.73;23.23;E-S0;;;;;;;;2MASX J10003168-3114419,ESO 435-027,ESO-LV 435-0270,MCG -05-24-017,PGC 028948;;;
IC2534;G;10:01:29.86;-34:06:44.7;Ant;1.84;1.25;98;13.38;;10.30;9.61;9.36;23.45;S0-a;;;;;;;;2MASX J10012985-3406445,ESO 374-019,ESO-LV 374-0190,MCG -06-22-011,PGC 029016;;;
IC2535;G;10:04:31.83;+38:00:21.7;LMi;0.85;0.74;75;14.60;;11.97;11.26;10.87;23.06;Sb;;;;;;;;2MASX J10043179+3800215,MCG +06-22-065,PGC 029222,SDSS J100431.82+380021.7,SDSS J100431.83+380021.7;;;
IC2536;G;10:03:30.22;-33:56:59.1;Ant;1.88;0.40;45;14.57;;11.37;10.62;10.37;23.44;SBc;;;;;;;;2MASX J10033022-3356590,ESO 374-026,ESO-LV 374-0260,IRAS 10012-3342,PGC 029157;;;
IC2537;G;10:03:51.89;-27:34:15.1;Ant;2.61;1.82;17;12.88;12.09;10.50;9.81;9.40;23.33;Sc;;;;;;;;2MASX J10035188-2734151,ESO 499-039,ESO-LV 499-0390,MCG -04-24-015,PGC 029179,UGCA 197;;;
IC2538;G;10:03:56.49;-34:48:27.1;Ant;1.49;0.75;180;14.62;;11.44;10.74;10.43;23.92;SABc;;;;;;;;2MASX J10035647-3448270,ESO 374-027,ESO-LV 374-0270,IRAS 10017-3434,MCG -06-22-015,PGC 029181;;;
IC2539;G;10:04:16.21;-31:21:46.6;Ant;1.98;0.56;25;14.04;;11.07;10.36;10.05;23.33;Sbc;;;;;;;;2MASX J10041619-3121464,ESO 435-034,ESO-LV 435-0340,IRAS 10020-3107,MCG -05-24-020,PGC 029203;;;
IC2540;G;10:06:46.71;+31:28:32.6;LMi;0.91;0.59;158;15.20;;11.92;11.21;11.20;23.76;E-S0;;;;;;;;2MASX J10064674+3128329,MCG +05-24-014,PGC 029389,SDSS J100646.71+312832.5,SDSS J100646.71+312832.6;;;
IC2541;G;10:05:48.01;-17:26:04.4;Hya;1.47;0.64;4;13.88;;11.25;10.59;10.29;22.82;SBbc;;;;;;;;2MASX J10054801-1726041,MCG -03-26-017,PGC 029309;;;B-Mag taken from LEDA. 
IC2542;G;10:07:50.54;+34:18:55.1;LMi;1.04;0.77;171;14.60;;11.90;11.28;10.98;23.14;SBc;;;;;;;;2MASX J10075047+3418548,IRAS 10048+3433,MCG +06-22-076,PGC 029453,SDSS J100750.53+341855.0,SDSS J100750.54+341855.1;;;
IC2543;GPair;10:08:23.80;+37:50:34.0;LMi;0.80;;;;;;;;;;;;;;;;;;;;Diameter of the group inferred by the author.
IC2543 NED01;G;10:08:23.56;+37:50:29.5;LMi;0.74;0.29;134;15.70;;12.59;11.78;11.44;23.17;Sb;;;;;;;;2MASX J10082361+3750299,IRAS 10054+3805,PGC 029485;;;
IC2543 NED02;G;10:08:23.97;+37:50:39.2;LMi;0.20;0.14;6;17.51;;;;;22.73;;;;;;;;;SDSS J100823.97+375039.2;;;B-Mag taken from LEDA
IC2544;G;10:08:29.73;+33:20:47.0;LMi;0.52;0.40;65;15.10;;13.51;13.17;12.74;22.56;SBcd;;;;;;;;2MASX J10082971+3320467,PGC 029491,SDSS J100829.72+332046.9,SDSS J100829.73+332046.9;;;
IC2545;**;10:06:35.06;-33:51:29.8;Ant;;;;;;;;;;;;;;;;;;;;The IC identification is uncertain, but IRAS F10038-3338 is not IC 2545.;
IC2546;G;10:07:05.92;-33:15:40.9;Ant;0.83;0.60;95;15.59;;;;;23.93;;;;;;;;;ESO 374-036,ESO-LV 374-0360,PGC 029407;;;
IC2547;G;10:10:04.49;+36:30:08.8;LMi;0.82;0.36;121;15.70;;12.78;12.13;11.67;23.49;Sb;;;;;;;;2MASX J10100448+3630092,PGC 029582,SDSS J101004.48+363008.8,SDSS J101004.49+363008.8;;;
IC2548;G;10:07:54.95;-35:13:46.6;Ant;2.17;1.42;70;13.90;;10.99;10.35;10.11;24.07;SBbc;;;;;;;;2MASX J10075496-3513468,ESO 374-037,ESO-LV 374-0370,MCG -06-23-001,PGC 029461;;;
IC2549;G;10:10:10.16;+36:27:53.5;LMi;0.47;0.32;143;15.60;;13.60;12.95;12.57;22.81;Sbc;;;;;;;;2MASX J10101012+3627532,PGC 029592,SDSS J101010.15+362753.4,SDSS J101010.16+362753.5;;;
IC2550;G;10:10:27.92;+27:57:22.0;Leo;0.93;0.68;109;14.60;;11.88;11.15;10.88;22.85;SABb;;;;;;;;2MASX J10102794+2757221,IRAS 10076+2811,MCG +05-24-023,PGC 029615,SDSS J101027.91+275721.9,SDSS J101027.91+275722.0,UGC 05484;;;
IC2551;G;10:10:40.32;+24:24:50.9;Leo;0.76;0.56;36;14.60;;11.70;11.08;10.74;22.67;Sa;;;;;;;;2MASX J10104029+2424510,IRAS 10078+2439,MCG +04-24-016,PGC 029632,SDSS J101040.31+242450.9,SDSS J101040.32+242450.9,UGC 05488;;;
IC2552;G;10:10:46.14;-34:50:40.9;Ant;1.87;1.68;89;13.42;;9.94;9.26;8.97;23.19;E-S0;;;;;;;;2MASX J10104613-3450405,ESO 374-040,ESO-LV 374-0400,MCG -06-23-007,PGC 029637;;;
IC2553;PN;10:09:20.87;-62:36:49.3;Car;0.15;;;13.00;10.30;12.51;12.63;11.64;;;;15.40;15.50;;;;HD 88367;ESO 127-010,IRAS 10077-6222,PK 285-05 1,PN G285.4-05.3;;;
IC2554;G;10:08:50.56;-67:01:51.1;Car;3.31;1.29;8;12.43;13.20;9.56;8.86;8.56;23.11;SBbc;;;;;;;;2MASX J10085056-6701510,ESO 092-012,ESO-LV 92-0120,IRAS 10075-6647,PGC 029512;;"SGC calls this object double (1 plate only); RC1,2,3 and ESO call it single.";
IC2555;Dup;10:11:42.43;-31:38:34.3;Ant;;;;;;;;;;;;;;;3157;;;;;;
IC2556;G;10:12:37.63;-34:43:43.9;Ant;1.83;0.95;119;14.29;;13.11;12.28;12.50;23.90;Scd;;;;;;;;2MASX J10123762-3443440,ESO 374-042,ESO-LV 374-0420,IRAS 10104-3428,MCG -06-23-012,PGC 029727;;;
IC2557;G;10:16:05.87;+38:06:33.2;LMi;0.60;0.41;95;15.70;;12.46;11.73;11.67;23.12;S0-a;;;;;;;;2MASX J10160583+3806334,MCG +06-23-003,PGC 029977,SDSS J101605.87+380633.2;;;
IC2558;G;10:14:44.14;-34:20:19.4;Ant;1.01;0.61;17;14.48;;11.92;11.20;11.12;22.63;Sm;;;;;;;;2MASX J10144414-3420196,ESO 375-001,ESO-LV 375-0010,IRAS 10125-3405,MCG -06-23-018,PGC 029895;;;
IC2559;G;10:14:45.39;-34:03:31.7;Ant;1.69;0.53;17;14.39;;11.54;10.91;10.56;23.47;SBb;;;;;;;;2MASX J10144539-3403316,ESO 375-002,ESO-LV 375-0020,IRAS 10125-3348,MCG -06-23-019,PGC 029898;;;
IC2560;G;10:16:18.72;-33:33:49.7;Ant;3.55;1.67;46;12.53;13.31;9.68;8.97;8.69;23.55;SBb;;;;;;;;2MASX J10161866-3333498,ESO 375-004,ESO-LV 375-0040,IRAS 10140-3318,MCG -05-25-001,PGC 029993;;;
IC2561;G;10:19:08.61;+34:40:30.1;LMi;0.89;0.55;14;14.90;;12.33;11.60;11.28;23.02;Sb;;;;;;;;2MASX J10190862+3440303,IRAS 10162+3455,MCG +06-23-007,PGC 030147,SDSS J101908.60+344030.0,SDSS J101908.61+344030.1,UGC 05567;;;
IC2562;G;10:18:54.50;+16:09:19.9;Leo;0.66;0.44;166;15.20;;11.66;11.00;10.70;22.62;Sa;;;;;;;;2MASX J10185447+1609193,MCG +03-26-053,PGC 030119,SDSS J101854.50+160919.8,SDSS J101854.50+160919.9;;;
IC2563;G;10:18:51.93;-32:35:47.6;Ant;0.91;0.38;110;15.57;;;;;23.29;SBcd;;;;;;;;ESO 436-009,ESO-LV 436-0090,PGC 030125;;;
IC2564;G;10:21:27.70;+36:27:07.4;LMi;0.71;0.60;50;15.83;;12.46;11.81;11.64;24.06;E;;;;;;;;2MASX J10212774+3627075,LEDA 2080857,SDSS J102127.69+362707.3,SDSS J102127.70+362707.4;;;B-Mag taken from LEDA. 
IC2565;G;10:21:17.87;+27:55:48.3;Leo;0.67;0.42;70;15.20;;11.81;11.19;10.81;23.07;S0-a;;;;;;;;2MASX J10211787+2755484,PGC 030288;;;
IC2566;G;10:22:19.39;+36:34:58.9;LMi;0.98;0.64;6;14.90;;11.60;10.88;10.56;23.54;S0-a;;;;;;;;2MASX J10221939+3634585,IRAS 10194+3650,MCG +06-23-008,PGC 030357,SDSS J102219.38+363458.8,SDSS J102219.38+363458.9,SDSS J102219.39+363458.9;;;
IC2567;G;10:21:57.80;+24:39:18.8;Leo;0.79;0.59;57;15.70;;12.03;11.42;11.09;23.59;S0-a;;;;;;;;2MASX J10215780+2439184,MCG +04-25-010,PGC 030339,SDSS J102157.80+243918.7,SDSS J102157.80+243918.8;;;
IC2568;G;10:22:30.01;+36:35:57.5;LMi;1.10;0.55;93;15.00;;11.77;11.08;10.83;23.65;SBa;;;;;;;;2MASX J10223002+3635574,MCG +06-23-009,PGC 030371,SDSS J102230.01+363557.4,UGC 05603;;;
IC2569;G;10:22:53.59;+24:36:23.1;Leo;0.67;0.57;146;15.46;;12.18;11.73;11.27;23.61;E;;;;;;;;2MASX J10225359+2436225,LEDA 1711559,SDSS J102253.59+243623.0,SDSS J102253.59+243623.1;;;B-Mag taken from LEDA. 
